Name,STATE,Sex,Event,Age,Division,BodyweightLBS,WeightClassLBS,Squat1Kg,SquatKg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,,,,,
Lee Luedeker,AZ,M,SBD,,Masters 65-69,154.6,165,105,112.5,117.5,,97.5,100,105,-107.5,,165,180,185,,407.5,,,,,
Israel Flores,AZ,M,SBD,,Teen 18-19,178.8,181,102.5,125,132.5,,70,82.5,85,,,125,135,142.5,,360,,,,,
Chad Penson,NM,M,SBD,,20-24/open/PFM,179.3,181,237.5,242.5,-250,,170,182.5,187.5,,,255,272,-275,,702,,,,,
Casey Joe Mast,AZ,M,SBD,,25-29/open,175.2,181,150,165,-170,,97.5,-100,-100,,,172.5,192.5,200,,462.5,,,,,
Aaron Trail,AZ,M,SBD,,25-29/open,181.3,181,155,-160,,,125,130,135,,,235,250,260,,550,,,,,
Nolan Hyland,AZ,M,SBD,,30-34/open,168.8,181,142.5,160,-165,,-127.5,-127.5,127.5,,,205,-210,-210,,492.5,,,,,
David Lynch,AZ,M,SBD,,Juniors 20-24,188.2,198,167.5,175,182.5,,117.5,130,-135,,,175,192.5,202.5,,515,,,,,
Aaron Maddox,AZ,M,SBD,,Submasters 35-39,195.9,198,130,137.5,142.5,,97.5,-100,-100,,,-162.5,162.5,-165,,402.5,,,,,
Ethan E Ellisor,AZ,M,SBD,,Open,195.2,198,205,215,227.5,,127.5,137.5,-140,,,255,277.5,-280,,642.5,,,,,
Brian Trail,AZ,M,SBD,,25-29,208.3,220,187.5,195,200,,162.5,-165,,,,275,-280,,,637.5,,,,,
Josh Conner,AZ,M,SBD,,Submasters 35-39,200.4,220,225,232.5,240,,165,170,172.5,,,272.5,287.5,292.5,,705,,,,,
Matthew Santucci,AZ,M,SBD,,Submasters 35-39,203.6,220,110,120,127.5,,92.5,-100,-100,,,170,-175,-175,,390,,,,,
Stephen Portell,AZ,M,SBD,,Masters 45-49,216.4,220,130,135,137.5,,95,100,105,,,167.5,172.5,-180,,415,,,,,
Cesar Sotelo-Figueroa,AZ,M,SBD,,Juniors 20-24,232.2,242,160,165,172.5,,125,-130,-130,,,175,182.5,190,,487.5,,,,,
Caleb Cattermole,AZ,M,SBD,,Juniors 20-24,235.5,242,212.5,225,230,,165,175,182.5,,,222.5,235,245,,657.5,,,,,
Everett Brill,AZ,M,SBD,,25-29/open,238.2,242,255,265,272.5,,165,172.5,-180,,,260,272.5,282.5,,727.5,,,,,
Bill Faiband,AZ,M,SBD,,Masters 70-74,234.2,242,85,-90,-90,,112.5,122.5,127.5,,,102.5,115,125,,337.5,,,,,
Jerremy Maisen Bach,AZ,M,SBD,,Submasters 35-39,268.3,275,125,150,162.5,,,,,,,,,,,162.5,,,,,
Glen Tenove,CA,M,SBD,,Masters 60-64,270.2,275,110,125,140,,182.5,-190,195,,,170,182.5,195,,530,,,,,
Chris Goodwin,AZ,M,SBD,,Submasters 35-39,371.8,SHW,185,-195,205,,127.5,135,137.5,,,205,215,-220,,557.5,,,,,
Chloe Eckard,AZ,F,BD,,Youth 12-13,105,105,,,,,-22.5,25,27.5,-30,,57.5,60,62.5,,110.5,,,,,
Diane Brill,NV,F,BD,,Open,125.9,132,,,,,60,70,72.5,73.5,,100,107.5,-110,,210,,,,,
Diane Brill,NV,F,BD,,Masters 55-59,125.9,132,,,,,60,70,72.5,73.5,,100,107.5,-110,,210,,,,,
Lee Luedeker,AZ,M,BD,,Masters 65-69,154.6,165,,,,,97.5,100,105,,,157.5,165,180,185,342.5,,,,,
Glen Tenove,CA,M,BD,,Masters 60-64,270.2,275,,,,,182.5,-190,195,,,170,182.5,195,,462.5,,,,,
Rocky Luedeker,AZ,M,BD,,Masters 60-64,94.6,97,,,,,22.5,27.5,32.5,,,25,47.5,,,80,,,,,
Bianca Luedeker,AZ,F,BD,,Open,112.2,114,,,,,62.5,65,-67.5,,,125,130,-135,,195,,,,,
Susan Daigle-Leach,AZ,F,BD,,Masters 54-59,147.8,148,,,,,50,52.5,53,,,82.5,92.5,-100,,145.5,,,,,
Deana Tollertson,AZ,F,BD,,Open,157.5,165,,,,,72.5,75,-775,,,125,132.5,140,,215,,,,,
Sheri Hurd,AZ,F,BD,,40-44/open,240.2,198+,,,,,62.5,67.5,-70,,,100,110,115,,182.5,,,,,
Sam Hancock,AZ,M,BD,,8-9,52,66,,,,,20,-22.5,22.5,,,40,45,47.5,,70,,,,,
Jacob Holly,AZ,M,BD,,25-29/open,148.5,148,,,,,67.5,-70,-70,,,125,135,165,,232.5,,,,,
Jerry Trubman,AZ,M,BD,,Submasters 35-39,144.9,148,,,,,-87.5,87.5,90,,,142.5,150,-160,,240,,,,,
Aaron Trail,AZ,M,BD,,25-29/open,181.3,181,,,,,125,130,135,,,235,250,260,,395,,,,,
Ed Regua,AZ,M,BD,,Masters 60-64,180.9,181,,,,,122.5,127.5,130,,,160,172.5,-175,,302.5,,,,,
Brian Trail,AZ,M,BD,,25-29,208.3,220,,,,,162.5,-165,,,,275,-280,,,437.5,,,,,
Larry Savage,AZ,M,BD,,Masters 50-54,239.9,242,,,,,140,145,152.5,,,175,185,192.5,,345,,,,,
Susan Daigle-Leach,AZ,F,B,,Masters 54-59,147.8,148,,,,,50,52.5,53,,,,,,,53,,,,,
Erika Grill,AZ,F,B,,Masters 60-64,172.5,181,,,,,75,85,92.5,,,,,,,92.5,,,,,
Scott Craig,AZ,M,B,,Masters 65-69,164.2,165,,,,,132.5,137.5,140,142.5,,,,,,140,,,,,
Dan Gordan,AZ,M,B,,Masters 65-69,165.4,165,,,,,97.5,-100,-100,,,,,,,97.5,,,,,
Bill Cross,AZ,M,B,,Masters 70-74,163.6,165,,,,,112.5,-115,-115,,,,,,,112.5,,,,,
James Moore,AZ,M,B,,Masters 50-54,180.2,181,,,,,127.5,132.5,135,,,,,,,135,,,,,
Perry Bassett,AZ,M,B,,Masters 70-74,181,181,,,,,131,132.5,-135,,,,,,,132.5,,,,,
Ethan Riston,AZ,M,B,,30-34/open,194.2,198,,,,,152.5,165,170,,,,,,,170,,,,,
Dana Lambert,AZ,M,B,,Masters 40-44,236.7,242,,,,,185,200,212.5,,,,,,,212.5,,,,,
Lance Grush,CA,M,B,,Masters 45-49,238.1,242,,,,,160,165,170,,,,,,,170,,,,,
Lance Grush,CA,M,B,,Open,238.1,242,,,,,160,165,170,,,,,,,170,,,,,
Larry Savage,AZ,M,B,,Masters 50-54,239.9,242,,,,,140,145,152.5,,,,,,,152.5,,,,,
Michael Hawkins,AZ,M,B,,Masters 65-69,228.9,242,,,,,100,110,-115,,,,,,,110,,,,,
Jacob Hurd,AZ,M,B,,Submasters 35-39,247.6,275,,,,,150,165,170,,,,,,,170,,,,,
Glen Tenove,CA,M,B,,Masters 60-64,270.2,275,,,,,182.5,-195,195,,,,,,,195,,,,,
Ed Lucas,AZ,M,B,,Masters 65-69,280.2,308,,,,,102.5,130,-135,,,,,,,130,,,,,
Susan Daigle-Leach,AZ,F,D,,Masters 55-59,147.8,148,,,,,,,,,,82.5,92.5,-100,,92.5,,,,,
Chris Coffman,NM,M,D,,Submasters 35-39,161.3,165,,,,,,,,,,192.5,195,-200,,195,,,,,
Tanner Austin,AZ,M,D,,Juniors 20-24,201.3,220,,,,,,,,,,192.5,212.5,227.5,,227.5,,,,,
Grant Heller,AZ,M,D,,Masters 50-54,278.2,308,,,,,,,,,,182.5,192.5,202.5,,202.5,,,,,
Brad Smallridge,MI,M,SBD,,Open,164.4,165,170,180,182.5,105,-115,,-115,287.5,187.5,,200,210,497.5,355.92,,,,,
Bob Nicholas,KY,M,SBD,,Masters 70-74,179.4,181,127.5,-142.5,142.5,87.5,100,,-102.5,242.5,-177.5,0,,163.81,,,,,,,
Jonathan Thurman,KY,M,SBD,,Open,197,198,155,167.5,182.5,-130,137.5,,147.5,330,200,,215,-227.5,545,349.2,,,,,
James Logsdon,KY,M,SBD,,Open,183.4,198,67.5,77.5,85,67.5,77.5,,80,165,135,,145,147.5,312.5,208.31,,,,,
Blake Hodges,KY,M,SBD,,Juniors 20-24,198,198,170,182.5,187.5,107.5,112.5,,-117.5,300,212.5,,227.5,235,535,341.9,,,,,
Matthew Hawthorne,KY,M,SBD,,Submasters 35-39,196.8,198,202.5,215,-227.5,110,-120,-120,,325,255,275,,-285,600,384.64,,,,,
James Logsdon,KY,M,SBD,,Submasters 35-39,183.4,198,67.5,77.5,85,67.5,77.5,,80,165,135,,145,147.5,312.5,208.31,,,,,
Matt Keller,MO,M,SBD,,Open,206.6,220,200,207.5,215,160,-170,,375,225,-235,,-235,600,375.56,,,,,,
Shawn Fante,KY,M,SBD,,Open,218.6,220,130,180,200,135,147.5,,-162.5,347.5,220,,230,-235,577.5,352.66,,,,,
Chesleigh Denison,KY,M,SBD,,Open,220,220,182.5,-205,-205,125,140,,-147.5,322.5,210,,220,230,552.5,336.53,,,,,
Dalton Brown,KY,M,SBD,,Teen 18-19,208.6,220,-125,125,150,105,112.5,,-117.5,262.5,192.5,,210,-227.5,472.5,294.44,,,,,
Tyler Eldridge,KY,M,SBD,,Juniors 20-24,238.4,242,-197.5,-197.5,197.5,130,140,147.5,,345,185,197.5,,-205,542.5,320.98,,,,,
Robert Gaines,VA,M,SBD,,Open,297.2,308,205,227.5,240.5,185,187.5,,190,430.5,250,,272.5,-280,703,395.16,,,,,
Robert Gaines,VA,M,SBD,,Masters 50-54,297.2,308,205,227.5,240.5,185,187.5,,190,430.5,250,,272.5,-280,703,395.16,,,,,
Scott Margolis,OH,M,BD,,Open,269.4,275,170,175,182.5,-187.5,195,217.5,,237.5,420,,,,,,,,,,
Mitchell Maglorie,OH,M,BD,,Open,253,275,-162.5,165,-172.5,237.5,-257.5,-257.5,,402.5,,,,,,,,,,,
Scott Margolis,OH,M,BD,,Submasters 35-39,269.4,275,170,175,182.5,-187.5,195,217.5,,237.5,420,,,,,,,,,,
Mitchell Maglorie,OH,M,BD,,Submasters 35-39,253,275,-162.5,165,-172.5,237.5,-257.5,-257.5,,402.5,,,,,,,,,,,
Robert Gaines,VA,M,BD,,Open,297.2,308,185,187.5,190,250,272.5,,-280,462.5,,,,,,,,,,,
Robert Gaines,VA,M,BD,,Masters 50-54,297.2,308,185,187.5,190,250,272.5,,-280,462.5,,,,,,,,,,,
Ryan Troiano,PA,M,B,,Open,165,165,145,152.5,-157.5,152.5,,,,,,,,,,,,,,,
William Beavin,KY,M,B,,Masters 60-64,178.6,181,-125,125,132.5,132.5,,,,,,,,,,,,,,,
Philip Roehner,MI,M,B,,Masters 45-49,230.4,242,0,,,,,,,,,,,,,,,,,,
Chris Fawbush,KY,M,B,,Open,261.8,275,150,160,165,-167.5,165,,,,,,,,,,,,,,
Marvin Bishop,OH,M,B,,Open,402.6,308+,142.5,152.5,-182.5,152.5,,,,,,,,,,,,,,,
Marvin Bishop,OH,M,B,,Submasters 35-39,402.6,308+,142.5,152.5,-182.5,152.5,,,,,,,,,,,,,,,
Lonnie Atkins,,M,D,,Masters 40-44,463,308+,210,217.5,-225,217.5,,,,,,,,,,,,,,,
Clayton Cook,KY,M,D,,Masters 40-44,323.6,308+,147.5,150,155,155,,,,,,,,,,,,,,,
Brandon Johnson,KY,M,D,,Submasters 35-39,164.6,165,185,192.5,-200,192.5,,,,,,,,,,,,,,,
John Krawchinson,IN,M,D,,Masters 55-59,177.4,181,142.5,155,-165,155,,,,,,,,,,,,,,,
Dan Myers,KY,M,D,,Masters 40-44,196.6,198,195,212.5,232.5,232.5,,,,,,,,,,,,,,,
Jennifer Waldron,KY,F,SBD,,Submasters 35-39,111.6,114,65,70,75,32.5,37.5,,-45,112.5,85,,90,95,207.5,264.07,,,,,
Miranda Weiter,KY,F,SBD,,Open,145.8,148,110,117.5,-122.5,75,80,,-82.5,197.5,125,,132.5,-140,330,341.82,,,,,
Miranda Weiter,KY,F,SBD,,Juniors 20-24,145.8,148,110,117.5,-122.5,75,80,,-82.5,197.5,125,,132.5,-140,330,341.82,,,,,
Ashley Linton,KY,F,SBD,,Open,163,165,85,102.5,-107.5,55,62.5,,-67.5,165,120,,130,137.5,302.5,290.18,,,,,
Elizabeth Leonhardt,KY,F,SBD,,Juniors 20-24,160.6,165,-97.5,-110,110,55,-57.5,57.5,,167.5,135,150,,165,332.5,322.04,,,,,
Allisha Guzdial,KY,F,SBD,,Open,180.6,181,-102.5,102.5,-105,62.5,65,67.5,,170,117.5,125,,137.5,307.5,277.77,,,,,
Brandi Sneed,IN,F,SBD,,Open,196,198,145,150,155,92.5,97.5,,100,255,165,,170,-180,425,369.13,,,,,
Julie Moeller,KY,F,SBD,,Masters 45-49,210.4,198+,-102.5,115,125,47.5,55,-62.5,180,,125,135,-147.5,,315,266.19,,,,,
Rachel Harrington,KY,F,BD,,Open,147.6,148,,,,,50,55,-60,125,135,,140,195,,,,,,,
Troy Brown,,F,D,,Open,220,198+,0,-300,0,,,,,,,,,,,,,,,,
Alyssa Natario,MA,F,SBD,21,Juniors 20-24,114,114,-80,-82.5,,-82.5,45,47.5,,-50,-32.5,97.5,100,,110,77.5,170.86,,,,
Norma Barber,NY,F,SBD,56,Masters 55-59,144.8,148,42.5,45,,50,42.5,47.5,,50,100,72.5,80,,82.5,182.5,402.34,,,,
Kelsey Dudgeon,CT,F,SBD,21,Juniors 20-24,136,148,70,75,,-82.5,37.5,40,,-42.5,115,80,85,,90,205,451.94,,,,
Ashley Falandys,MA,F,SBD,29,Open,144.8,148,75,-85,-85,,42.5,-47.5,-47.5,,117.5,102.5,110,115,,232.5,512.57,,,,
Scott Fillion,MA,M,SBD,40,Masters 40-44,239.4,242,-190,,-190,190,-175,,-175,-175,15,215,,230,-240,245,540.13,,,,
Ari Kutin,NJ,M,SBD,13,Teen 12-13,133.4,148,90,,100,107.5,47.5,,50,52.5,160,97.5,,257.5,567.68,,,,,,
Ashlee Jasak,MA,F,SBD,32,Open,119.4,123,77.5,80,87.5,,52.5,57.5,-62.5,,145,110,120,-135,,265,584.22,,,,
Amanda-Rae Sullivan,CT,F,SBD,26,Open,159.6,165,92.5,97.5,102.5,,47.5,50,-55,,152.5,112.5,117.5,122.5,,275,606.27,,,,
Brian Shea,MA,M,SBD,17,Teen 16-17,168.2,181,100,,105,-112.5,52.5,,60,65,170,105,,110,120,290,639.33,,,,
Jennifer Matos,MA,F,SBD,31,Open,141.2,148,97.5,105,115,,57.5,67.5,-75,,182.5,120,130,140,,322.5,710.98,,,,
Josh Willis,MA,M,SBD,18,Teen 18-19,122.2,124,0,-105,,110,122.5,82.5,,-85,-85,205,115,,125,-132.5,330,727.52,,,
Jack McGrath,MA,M,SBD,15,Teen 14-15,146.6,148,110,,-117.5,122.5,60,,67.5,-77.5,190,122.5,,130,140,330,727.52,,,,
Naomi Kutin,NJ,F,SBD,14,Open,123,123,125,-132.5,,132.5,52.5,-57.5,,-57.5,185,137.5,147.5,,-157.5,332.5,733.03,,,,
Naomi Kutin,NJ,F,SBD,14,Teen 14-15,123,123,125,-132.5,,132.5,52.5,-57.5,,-57.5,185,137.5,147.5,,-157.5,332.5,733.03,,,,
Lindsay Ferzoco,MA,M,SBD,31,Open,128.8,132,115,120,122.5,,67.5,72.5,75,,197.5,135,140,-147.5,,337.5,744.05,,,,
Dylan Bissonette,NY,M,SBD,24,Juniors 20-24,191.6,198,125,,127.5,135,80,,82.5,-87.5,217.5,142.5,,-145,145,362.5,799.17,,,,
Jake Freedman,NH,M,SBD,44,Masters 40-44,164.6,165,92.5,,115,125,125,,-130,-132.5,250,90,,105,115,365,804.68,,,,
Jon Demarais,NY,M,SBD,30,Open,154.4,165,132.5,142.5,,-147.5,107.5,112.5,,-115,255,162.5,172.5,,-177.5,427.5,942.47,,,,
Ambrose DeMarco,MA,M,SBD,19,Teen 18-19,139.8,148,142.5,152.5,,160,-92.5,97.5,,-102.5,257.5,165,182.5,,190,447.5,986.56,,,,
Larry Emerson,MA,M,SBD,68,Masters 65-69,178,181,142.5,,150,155,87.5,,90,92.5,247.5,205,,215,220,467.5,1030.65,,,,
Scott Provost,CT,M,SBD,33,Open,176.4,181,155,162.5,,170,125,-130,,-130,295,187.5,192.5,,205,500,1102.3,,,,
Thomas VanLangen,CT,M,SBD,26,Open,172.4,181,157.5,162.5,,172.5,135,140,,145,317.5,200,215,,-227.5,532.5,1173.95,,,,
Joshua Hurwitz,MA,M,SBD,23,Juniors 20-24,185.4,198,152.5,,162.5,167.5,135,,-142.5,142.5,310,205,,215,227.5,537.5,1184.97,,,,
Nicholas DiMinni,NJ,M,SBD,23,Open,165,165,230,-245,,-245,125,-140,,-140,355,217.5,-227.5,,-227.5,572.5,1262.13,,,,
Nicholas DiMinni,NJ,M,SBD,23,Juniors 20-24,165,165,230,-245,,-245,125,-140,,-140,355,217.5,-227.5,,-227.5,572.5,1262.13,,,,
Chad Dakin,MA,M,SBD,23,Juniors 20-24,192.2,198,185,197.5,202.5,,135,142.5,-145,345,,205,222.5,230,575,1267.65,,,,,
Mike Rossi,MA,M,SBD,33,Open,212.8,220,185,197.5,,-202.5,135,142.5,,-150,340,222.5,242.5,,-257.5,582.5,1284.18,,,,
Ed Kutin,NJ,M,SBD,53,Open,220.4,220,182.5,192.5,,-200,140,142.5,,145,337.5,230,245,,-255,582.5,1284.18,,,,
David Lyons,NY,M,SBD,23,Open,176,181,207.5,215,,222.5,165,170,,-172.5,392.5,230,237.5,,-240,630,1388.9,,,,
Jefferson Lett,MA,M,BD,55,Masters 55-59,240.6,242,232.5,,,242.5,-250,152.5,,160,165,407.5,257.5,,277.5,685,1510.15,,,,
Cameron Gillespie,CT,M,BD,28,Open,318.8,308+,,,,,210,217.5,-222.5,217.5,,295,317.5,330,547.5,,1207.02,,,,
Raymond Barber,NY,M,B,58,Masters 55-59,164.2,165,,,,,87.5,-92.5,,-92.5,87.5,87.5,,192.9,,,,,,,
John Bessette,NC,M,B,58,Masters 55-59,179.8,181,,,,,130,-140,,-140,130,130,,286.6,,,,,,,
Robert Cutts,MA,M,B,56,Masters 55-59,395,308+,,,,,192.5,200.5,205,,207.5,205,205,,451.94,,,,,,
Taran Richter,MA,M,D,18,Teen 18-19,175.6,181,,,,,,,,,,,165,182.5,190,190,,418.87,,,
Allision Cross,MD,F,SBD,27,Open,114,111,100,60,132.5,292.5,,,,,,,,,,,,,,,
Megan Bruce,MD,F,SBD,16,Teen 16-17,114,111,55,25,60,140,,,,,,,,,,,,,,,
Nicole Tomkins-Flagg,MD,F,SBD,28,Open,123,121,95,50,110,255,,,,,,,,,,,,,,,
Melissa Barber,MD,F,SBD,28,Open,123,123,125,67.5,192.5,385,,,,,,,,,,,,,,,
Tensley Clowser,VA,F,SBD,21,Juniors 20-24,123,118,102.5,65,147.5,315,,,,,,,,,,,,,,,
Lauren Parrinello,MD,F,SBD,23,Juniors 20-24,132,131,102.5,65,130,297.5,,,,,,,,,,,,,,,
Angela Baker,MD,F,SBD,47,Masters 45-49,132,128,45,40,85,170,,,,,,,,,,,,,,,
Elia Goffi,MD,F,SBD,18,Teen 18-19,148,145,85,47.5,117.5,250,,,,,,,,,,,,,,,
Mary Beth Flagg,DE,F,SBD,56,Masters 55-59,148,146,47.5,37.5,92.5,177.5,,,,,,,,,,,,,,,
Kelly Chance,VA,F,SBD,29,Open,148,148,120,80,145,345,,,,,,,,,,,,,,,
Rose Browneagle,MD,F,SBD,30,Open,198,184,117.5,65,152.5,335,,,,,,,,,,,,,,,
Erin Antroinen,MD,F,SBD,32,Open,198+,184,112.5,75,137.5,325,,,,,,,,,,,,,,,
Raymond Kaminski,PA,M,SBD,11,Under 11,148,148,47.5,27.5,82.5,157.5,,,,,,,,,,,,,,,
Conner Maloney,MD,M,SBD,15,Teen 14-15,165,150,95,50,130,275,,,,,,,,,,,,,,,
Steven Clayton,MD,M,SBD,19,Teen 18-19,165,162,175,125,207.5,507.5,,,,,,,,,,,,,,,
Ryan Kirkpatrick,VA,M,SBD,26,Open,165,158,127.5,105,175,407.5,,,,,,,,,,,,,,,
Adam Silverman,DC,M,SBD,22,Juniors 20-24,165,160,135,107.5,182.5,425,,,,,,,,,,,,,,,
Joseph DeSimone,MD,M,SBD,24,Juniors 20-24,165,162,160,122.5,205,487.5,,,,,,,,,,,,,,,
Robert Velisek,MD,M,SBD,25,Open,181,178,162.5,120,170,452.5,,,,,,,,,,,,,,,
Daniel Flagg,MD,M,SBD,26,Open,181,178,125,85,185,395,,,,,,,,,,,,,,,
John Anderson,NY,M,SBD,27,Open,181,180,132.5,115,165,412.5,,,,,,,,,,,,,,,
Cody Collier,MD,M,SBD,28,Open,198,197,235,140,262.5,637.5,,,,,,,,,,,,,,,
Matthew Smith,PA,M,SBD,30,Open,198,194,197.5,125,267.5,590,,,,,,,,,,,,,,,
Sylvester Joosten,PA,M,SBD,30,Open,198,194,165,100,230,495,,,,,,,,,,,,,,,
Benjamin Coe,MD,M,SBD,27,Open,198,198,155,155,192.5,502.5,,,,,,,,,,,,,,,
Jacobi Crawley,MD,M,SBD,28,Open,198,198,185,140,227.5,552.5,,,,,,,,,,,,,,,
Gene Santomartino,MD,M,SBD,51,Open,198,196,192.5,145,263.5,601,,,,,,,,,,,,,,,
Gene Santomartino,MD,M,SBD,51,Masters 50-54,198,196,192.5,145,263.5,601,,,,,,,,,,,,,,,
Jeff Simmons,MD,M,SBD,25,Open,220,204,157.5,132.5,262.5,552.5,,,,,,,,,,,,,,,
Michael Eaton,MD,M,SBD,39,Open,242,236,290,172.5,365,827.5,,,,,,,,,,,,,,,
Jakob Eide,MD,M,SBD,21,Juniors 20-24,242,222,200,130,250,580,,,,,,,,,,,,,,,
Michael Eaton,MD,M,SBD,39,Submasters 35-39,242,236,290,172.5,365,827.5,,,,,,,,,,,,,,,
John Flagg,MD,M,SBD,32,Open,275,253,232.5,170,280,682.5,,,,,,,,,,,,,,,
Andrew Sien,MD,M,SBD,16,Teen 16-17,275,272,210,120,240,570,,,,,,,,,,,,,,,
Wayne Lafleur,MD,M,SBD,43,Masters 40-44,275,266,195,160,197.5,552.5,,,,,,,,,,,,,,,
John Jones Jr,MD,M,SBD,29,Open,308,277,262.5,210,280,752.5,,,,,,,,,,,,,,,
Shane Green,MD,M,SBD,35,Submasters 35-39,SHW,336,207.5,135,240,582.5,,,,,,,,,,,,,,,
Kelly Chance,VA,F,B,29,Open,148,148,80,,,,,,,,,,,,,,,,,,
Karen Posey,MD,F,B,55,Masters 55-59,198+,252,52.5,,,,,,,,,,,,,,,,,,
Randy Elbert,MD,M,B,46,Open,198,196,150,,,,,,,,,,,,,,,,,,
Randy Elbert,MD,M,B,46,Masters 45-49,198,196,150,,,,,,,,,,,,,,,,,,
Khristopher Jordan,MD,M,B,30,Open,220,216,145,,,,,,,,,,,,,,,,,,
Bob Muretta,VA,M,B,44,Open,242,238,160,,,,,,,,,,,,,,,,,,
Bob Muretta,VA,M,B,44,Masters 40-44,242,238,160,,,,,,,,,,,,,,,,,,
Biviana Seijo,DC,F,D,41,Masters 40-44,148,143,145.5,,,,,,,,,,,,,,,,,,
Cara Vargas,VA,F,D,33,Open,165,164,152.5,,,,,,,,,,,,,,,,,,
Brandon Powell,MD,M,D,16,Teen 16-17,123,123,125,,,,,,,,,,,,,,,,,,
James Baskkin,DC,M,D,26,Open,198,194,227.5,,,,,,,,,,,,,,,,,,
Gene Santomartino,MD,M,D,51,Masters 50-54,198,196,263.5,,,,,,,,,,,,,,,,,,
Roy Apseloff,VA,M,D,58,Masters 55-59,198,197,250,,,,,,,,,,,,,,,,,,
Michael Eaton,MD,M,D,39,Open,242,236,365,,,,,,,,,,,,,,,,,,
Michael Eaton,MD,M,D,39,Submasters 35-39,242,236,365,,,,,,,,,,,,,,,,,,
Larry Carroll,DC,M,D,48,Masters 45-49,242,235,227.5,,,,,,,,,,,,,,,,,,
Natasha Navarro,FL,F,BD,21,Juniors 20-24,114,109,60,135,195,,,,,,,,,,,,,,,,
Linda Leightley,VA,F,BD,71,Masters 70-74,132,131,45,122.5,167.5,,,,,,,,,,,,,,,,
Cara Vargas,VA,F,BD,33,Open,165,164,72.5,152.5,225,,,,,,,,,,,,,,,,
Graham Bartholomew,MD,M,BD,57,Masters 55-59,198,195,82.5,207.5,290,,,,,,,,,,,,,,,,
Bruce Knox,MD,M,BD,30,Open,242,238,185,287.5,472.5,,,,,,,,,,,,,,,,
